"","Municipio","Infectados","Recuperados","Obitos","Total","Dia_Juliano"
"347","Pontes e Lacerda",1,0,0,1,111
"348","Primavera do Leste",4,1,0,5,111
"349","Rondonopolis",17,6,1,24,111
"350","Sao Jose dos Quatro Marcos",2,2,0,4,111
"351","Sinop",3,10,0,13,111
"352","Tangara da Serra",0,5,0,5,111
"353","Uniao do Sul",0,1,0,1,111
"354","Varzea Grande",3,6,0,9,111
"355","Vila Bela da Santissima Trindade",1,0,0,1,111
"356","Alta Floresta",0,1,0,1,112
"357","Aripuana",0,1,1,2,112
"358","Barra do Garcas",2,0,1,3,112
"359","Caceres",2,1,1,4,112
"360","Campo Novo do Parecis",0,1,0,1,112
"361","Canarana",0,1,0,1,112
"362","Conquista do Oeste",1,0,0,1,112
"363","Cuiaba",46,49,1,96,112
"364","Ipiranga do Norte",1,0,0,1,112
"365","Lambari do Oeste",0,1,0,1,112
"366","Lucas do Rio Verde",0,0,1,1,112
"367","Mirassol do Oeste",1,0,0,1,112
"368","Nova Monte Verde",0,1,0,1,112
"369","Nova Mutum",0,1,0,1,112
"370","Pontes e Lacerda",1,0,0,1,112
"371","Primavera do Leste",4,1,0,5,112
"372","Rondonopolis",24,6,1,31,112
"373","Sao Jose dos Quatro Marcos",2,2,0,4,112
"374","Sinop",3,10,0,13,112
"375","Tangara da Serra",0,5,0,5,112
"376","Uniao do Sul",0,1,0,1,112
"377","Varzea Grande",3,6,0,9,112
"378","Vila Bela da Santissima Trindade",1,0,0,1,112
"379","Alta Floresta",0,1,0,1,113
"380","Aripuana",0,1,1,2,113
"381","Barra do Garcas",2,0,1,3,113
"382","Caceres",2,1,1,4,113
"383","Campo Novo do Parecis",0,1,0,1,113
"384","Canarana",0,1,0,1,113
"385","Conquista do Oeste",1,0,0,1,113
"386","Cuiaba",49,52,1,102,113
"387","Ipiranga do Norte",1,0,0,1,113
"388","Jaciara",1,0,0,1,113
"389","Lambari do Oeste",0,1,0,1,113
"390","Lucas do Rio Verde",0,0,1,1,113
"391","Mirassol do Oeste",5,0,0,5,113
"392","Nova Monte Verde",0,1,0,1,113
"393","Nova Mutum",0,1,0,1,113
"394","Pontes e Lacerda",1,0,0,1,113
"395","Primavera do Leste",4,1,0,5,113
"396","Rio Branco",2,0,0,2,113
"397","Rondonopolis",26,7,2,35,113
"398","Sao Jose dos Quatro Marcos",3,2,0,5,113
"399","Sinop",3,10,0,13,113
"400","Tangara da Serra",0,5,0,5,113
"401","Uniao do Sul",0,1,0,1,113
"402","Varzea Grande",3,8,0,11,113
"403","Vila Bela da Santissima Trindade",1,0,0,1,113
"404","Alta Floresta",0,1,0,1,114
"405","Aripuana",0,1,1,2,114
"406","Barra do Garcas",2,0,1,3,114
"407","Caceres",2,1,1,4,114
"408","Campo Novo do Parecis",0,1,0,1,114
"409","Canarana",0,1,0,1,114
"410","Confresa",1,0,0,1,114
"411","Conquista do Oeste",1,0,0,1,114
"412","Cuiaba",42,65,1,108,114
"413","Ipiranga do Norte",1,0,0,1,114
"414","Jaciara",1,0,0,1,114
"415","Lambari do Oeste",0,1,0,1,114
"416","Lucas do Rio Verde",0,0,1,1,114
"417","Mirassol do Oeste",5,0,0,5,114
"418","Nova Monte Verde",0,1,0,1,114
"419","Nova Mutum",0,1,0,1,114
"420","Pontal do Araguaia",1,0,0,1,114
"421","Pontes e Lacerda",1,0,0,1,114
"422","Primavera do Leste",6,2,0,8,114
"423","Rio Branco",2,0,0,2,114
"424","Rondonopolis",27,6,2,35,114
"425","Sao Jose dos Quatro Marcos",3,2,0,5,114
"426","Sinop",4,10,0,14,114
"427","Tangara da Serra",0,5,0,5,114
"428","Uniao do Sul",0,1,0,1,114
"429","Varzea Grande",3,9,0,12,114
"430","Vila Bela da Santissima Trindade",1,0,0,1,114
